"region","byggår","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0180C2120","2011-2020",..,..,..,1,1,1,1,1,1,2,2,2,2,2
"0180C2120","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2130","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C2130","2011-2020",9,15,15,15,15,15,15,15,15,15,15,15,17,17
"0180C2130","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,1
"0180C2140","2001-2010",6,6,6,6,6,6,6,6,5,6,6,6,6,6
"0180C2140","2011-2020",..,..,..,..,..,..,..,3,7,7,7,7,7,7
"0180C2140","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2150","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2150","2011-2020",..,..,..,..,..,..,2,4,6,6,6,6,6,6
"0180C2150","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2160","2001-2010",8,8,8,8,8,11,11,11,11,11,11,11,11,11
"0180C2160","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2160","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2170","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2170","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2170","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2180","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2180","2011-2020",..,..,..,..,..,1,1,2,4,4,4,4,4,4
"0180C2180","2021-2030",..,..,..,..,..,..,..,..,..,..,..,2,2,2
"0180C2190","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2190","2011-2020",..,..,..,..,..,..,..,1,1,2,2,2,2,2
"0180C2190","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,3
"0180C2200","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2200","2011-2020",..,..,..,..,..,..,..,..,4,4,4,4,4,4
"0180C2200","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2210","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2210","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2210","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2220","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2220","2011-2020",..,..,..,..,..,..,3,3,4,4,4,4,4,4
"0180C2220","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,4,4
"0180C2230","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2230","2011-2020",..,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2230","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2240","2001-2010",9,9,9,9,9,9,9,9,9,9,9,9,9,9
"0180C2240","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2240","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,3
"0180C2250","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2250","2011-2020",..,..,..,..,..,..,..,..,1,2,2,2,2,2
"0180C2250","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2260","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2260","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2260","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2270","2001-2010",7,7,7,7,7,7,7,7,7,7,7,7,7,7
"0180C2270","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2270","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2280","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2280","2011-2020",1,2,2,2,2,2,5,5,5,5,5,5,5,5
"0180C2280","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2290","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2290","2011-2020",..,..,..,..,..,..,..,..,..,3,3,3,3,3
"0180C2290","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2300","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C2300","2011-2020",..,1,1,1,1,4,5,9,7,9,10,10,10,10
"0180C2300","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,3
"0180C2310","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2310","2011-2020",..,..,..,..,..,..,..,..,..,..,..,1,1,1
"0180C2310","2021-2030",..,..,..,..,..,..,..,..,..,..,..,4,4,4
"0180C2320","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2320","2011-2020",1,1,1,1,1,1,1,1,1,2,2,2,2,2
"0180C2320","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2330","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2330","2011-2020",..,..,..,..,..,3,3,3,3,3,3,3,3,3
"0180C2330","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,3,3
"0180C2340","2001-2010",55,54,54,54,54,54,54,54,12,12,12,12,12,12
"0180C2340","2011-2020",..,..,1,2,2,2,2,3,1,1,3,1,1,..
"0180C2340","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,2
"0180C2350","2001-2010",3,3,3,3,3,3,3,3,3,3,2,2,2,2
"0180C2350","2011-2020",..,..,..,..,..,..,..,1,..,6,7,7,7,7
"0180C2350","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2360","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2360","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2360","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2370","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2370","2011-2020",..,..,..,..,..,10,10,10,10,10,10,10,10,10
"0180C2370","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2380","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2380","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2380","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2390","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2390","2011-2020",..,..,..,..,..,..,..,..,4,4,4,4,3,1
"0180C2390","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2400","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2400","2011-2020",..,4,4,5,5,8,8,8,8,13,13,13,13,13
"0180C2400","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2410","2001-2010",..,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2410","2011-2020",..,..,..,..,..,1,1,1,1,1,1,1,1,1
"0180C2410","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2420","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2420","2011-2020",..,..,..,..,..,..,..,..,1,1,1,1,1,1
"0180C2420","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2430","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2430","2011-2020",..,..,..,..,..,..,..,4,4,4,4,4,4,4
"0180C2430","2021-2030",..,..,..,..,..,..,..,..,..,..,..,2,7,7
"0180C2440","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2440","2011-2020",..,..,..,..,..,..,..,..,..,3,3,3,3,3
"0180C2440","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2450","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2450","2011-2020",..,1,1,1,1,2,2,2,2,2,2,2,2,2
"0180C2450","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2460","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2460","2011-2020",..,..,..,..,..,..,..,1,1,1,1,1,1,1
"0180C2460","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,3,3
"0180C2470","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2470","2011-2020",..,..,..,..,..,..,..,..,..,..,..,2,2,2
"0180C2470","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2480","2001-2010",8,8,8,8,8,8,8,8,8,8,8,8,8,8
"0180C2480","2011-2020",..,..,..,..,..,..,..,..,..,2,2,2,2,2
"0180C2480","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2490","2001-2010",1,1,1,1,1,5,7,7,7,7,7,7,7,7
"0180C2490","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2490","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2500","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2500","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2500","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,3
"0180C2510","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2510","2011-2020",..,..,..,..,..,..,..,..,..,..,2,2,2,2
"0180C2510","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,2,2
"0180C2520","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2520","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2520","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2530","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2530","2011-2020",..,..,..,1,1,1,1,2,3,6,6,6,6,6
"0180C2530","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2540","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2540","2011-2020",..,..,..,..,..,..,..,..,..,1,1,1,1,1
"0180C2540","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2550","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2550","2011-2020",..,..,..,..,..,..,..,5,3,5,5,5,5,5
"0180C2550","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2560","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2560","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2560","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,2,2
"0180C2570","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C2570","2011-2020",..,..,..,..,1,2,3,3,3,3,5,5,5,5
"0180C2570","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2580","2001-2010",6,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2580","2011-2020",..,1,1,1,1,1,2,3,5,6,6,6,6,6
"0180C2580","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,2
"0180C2590","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2590","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2590","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,4
"0180C2600","2001-2010",9,9,9,9,9,9,9,9,9,9,9,9,9,9
"0180C2600","2011-2020",..,2,2,2,3,4,4,4,5,5,5,5,5,5
"0180C2600","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,2
"0180C2610","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2610","2011-2020",..,..,..,..,..,..,..,..,11,11,17,17,17,17
"0180C2610","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2620","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2620","2011-2020",..,..,..,..,..,4,4,4,4,5,5,5,5,5
"0180C2620","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,3,5
"0180C2630","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2630","2011-2020",..,..,..,..,..,..,..,..,1,1,1,1,1,1
"0180C2630","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2640","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2640","2011-2020",..,..,..,..,..,2,2,2,3,4,4,4,4,4
"0180C2640","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,1
"0180C2650","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2650","2011-2020",..,..,..,..,..,..,1,1,1,1,1,1,1,1
"0180C2650","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2660","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2660","2011-2020",..,..,..,..,..,1,1,3,3,3,3,3,3,3
"0180C2660","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2670","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2670","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2670","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2680","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2680","2011-2020",..,..,..,..,..,..,..,..,..,1,1,1,1,1
"0180C2680","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2690","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2690","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2690","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2700","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2700","2011-2020",..,..,..,..,..,..,4,4,4,4,5,4,4,4
"0180C2700","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2710","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2710","2011-2020",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2710","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2720","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2720","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2720","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2730","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2730","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2730","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2740","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2740","2011-2020",..,..,..,4,4,4,4,4,..,4,5,5,5,5
"0180C2740","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2750","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2750","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2750","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2760","2001-2010",3,3,3,2,2,4,4,4,4,4,4,4,4,4
"0180C2760","2011-2020",..,..,..,..,..,..,..,..,..,1,1,1,1,1
"0180C2760","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2770","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2770","2011-2020",..,..,6,6,6,6,6,6,6,6,6,6,6,6
"0180C2770","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,1
"0180C2780","2001-2010",12,12,12,12,12,12,12,12,12,12,12,12,12,12
"0180C2780","2011-2020",..,..,2,2,2,5,5,8,9,10,10,10,10,10
"0180C2780","2021-2030",..,..,..,..,..,..,..,..,..,..,..,3,3,7
"0180C2790","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2790","2011-2020",..,..,..,..,..,..,..,..,..,1,2,2,2,2
"0180C2790","2021-2030",..,..,..,..,..,..,..,..,..,..,..,4,4,4
"0180C2800","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2800","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2800","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2810","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C2810","2011-2020",..,..,..,..,..,..,6,14,14,14,14,14,14,14
"0180C2810","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2820","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2820","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2820","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2830","2001-2010",4,4,4,4,4,12,12,12,12,12,12,12,12,12
"0180C2830","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2830","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2840","2001-2010",16,16,16,16,16,20,20,20,19,20,20,20,20,20
"0180C2840","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2840","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2850","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2850","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2850","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2860","2001-2010",9,9,9,9,9,13,13,13,13,13,13,13,13,13
"0180C2860","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2860","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2870","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2870","2011-2020",..,..,..,..,..,..,..,1,2,2,2,2,2,2
"0180C2870","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2880","2001-2010",17,17,17,17,17,17,17,18,17,17,17,17,17,17
"0180C2880","2011-2020",..,..,..,..,..,..,2,2,3,3,7,7,7,7
"0180C2880","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2890","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2890","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2890","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2900","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2900","2011-2020",..,..,..,..,..,5,7,7,7,7,7,7,7,7
"0180C2900","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2910","2001-2010",..,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2910","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2910","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2920","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2920","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2920","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2930","2001-2010",..,..,..,..,..,1,1,1,1,1,1,1,1,1
"0180C2930","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2930","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2940","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2940","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2940","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2950","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C2950","2011-2020",..,..,..,..,..,2,6,20,21,15,15,16,16,16
"0180C2950","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,4
"0180C2960","2001-2010",19,19,19,19,19,33,33,33,33,33,33,33,33,33
"0180C2960","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2960","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2970","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2970","2011-2020",..,12,12,12,12,13,18,20,19,20,20,20,20,20
"0180C2970","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2980","2001-2010",8,8,8,8,8,18,18,18,18,18,18,18,18,18
"0180C2980","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2980","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2990","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2990","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2990","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3000","2001-2010",..,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C3000","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3000","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3010","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3010","2011-2020",..,..,..,..,..,..,..,..,6,6,6,6,6,6
"0180C3010","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3020","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3020","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3020","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3030","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C3030","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3030","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3040","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3040","2011-2020",..,..,..,..,..,1,1,1,1,1,1,1,1,1
"0180C3040","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3050","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C3050","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3050","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3060","2001-2010",3,3,3,2,2,7,7,7,7,7,7,7,7,7
"0180C3060","2011-2020",..,..,..,..,..,..,..,..,..,3,3,3,5,5
"0180C3060","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3070","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C3070","2011-2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C3070","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3080","2001-2010",7,7,7,7,7,7,7,7,7,7,7,7,7,7
"0180C3080","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3080","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3090","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3090","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3090","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3100","2001-2010",21,22,22,22,22,22,22,22,22,22,22,22,22,22
"0180C3100","2011-2020",..,..,..,..,..,1,1,1,1,5,5,5,5,5
"0180C3100","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3110","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3110","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3110","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3120","2001-2010",3,3,3,3,3,4,4,4,4,4,4,4,4,4
"0180C3120","2011-2020",..,2,2,2,2,5,5,5,5,5,5,5,5,5
"0180C3120","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3130","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3130","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3130","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3140","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3140","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3140","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3150","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3150","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3150","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3160","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C3160","2011-2020",..,..,..,..,..,..,1,1,2,2,2,2,2,2
"0180C3160","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3170","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3170","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3170","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3180","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3180","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3180","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3190","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3190","2011-2020",1,1,1,1,1,1,1,2,1,1,1,1,1,1
"0180C3190","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3200","2001-2010",3,3,3,3,3,8,8,8,8,8,8,8,8,8
"0180C3200","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3200","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,6
"0180C3210","2001-2010",3,3,3,3,3,3,3,3,1,3,3,3,3,3
"0180C3210","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3210","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3220","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3220","2011-2020",..,..,..,..,..,..,3,3,3,3,3,3,3,3
"0180C3220","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3230","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C3230","2011-2020",..,..,..,..,..,1,2,2,5,5,5,4,5,5
"0180C3230","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3240","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C3240","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3240","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3250","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C3250","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
